"c1_id","c1_protein_1","c1_protein_2","c1_carbs_1","c1_carbs_2","c1_fats_1","c1_fats_2","p1","p2","c1","c2","f1","f2"
"123","Bison","Chicken Breast","Sweet Potato","Banana","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"124","Bison","Chicken Breast","Sweet Potato","Banana","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"125","Bison","Chicken Breast","Sweet Potato","Banana","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"126","Bison","Chicken Breast","Sweet Potato","Banana","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"127","Bison","Chicken Breast","Sweet Potato","Sweet Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"128","Bison","Chicken Breast","Sweet Potato","Sweet Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"129","Bison","Chicken Breast","Sweet Potato","Sweet Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"130","Bison","Chicken Breast","Sweet Potato","Sweet Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"131","Bison","Chicken Breast","Sweet Potato","Sweet Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"132","Bison","Chicken Breast","Sweet Potato","Sweet Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"133","Bison","Chicken Breast","Sweet Potato","White Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"134","Bison","Chicken Breast","Sweet Potato","White Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"135","Bison","Chicken Breast","Sweet Potato","White Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"136","Bison","Chicken Breast","Sweet Potato","White Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"137","Bison","Chicken Breast","Sweet Potato","White Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"138","Bison","Chicken Breast","Sweet Potato","White Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"139","Bison","Chicken Breast","Sweet Potato","-","Avocado","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"140","Bison","Chicken Breast","Sweet Potato","-","Avocado","-","0.5","0.5","1.0","0.0","1.0","0.0"
"141","Bison","Chicken Breast","Sweet Potato","-","Nuts STANDARD","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"142","Bison","Chicken Breast","Sweet Potato","-","Nuts STANDARD","-","0.5","0.5","1.0","0.0","1.0","0.0"
"143","Bison","Chicken Breast","Sweet Potato","-","-","Oil STANDARD","0.5","0.5","1.0","0.0","0.0","0.5"
"144","Bison","Chicken Breast","Sweet Potato","-","-","-","0.5","0.5","1.0","0.0","0.0","0.0"
"145","Bison","Chicken Breast","White Potato","Beans STANDARD","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"146","Bison","Chicken Breast","White Potato","Beans STANDARD","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"147","Bison","Chicken Breast","White Potato","Beans STANDARD","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"148","Bison","Chicken Breast","White Potato","Beans STANDARD","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"149","Bison","Chicken Breast","White Potato","Beans STANDARD","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"150","Bison","Chicken Breast","White Potato","Beans STANDARD","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"151","Bison","Chicken Breast","White Potato","Lentils","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"152","Bison","Chicken Breast","White Potato","Lentils","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"153","Bison","Chicken Breast","White Potato","Lentils","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"154","Bison","Chicken Breast","White Potato","Lentils","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"155","Bison","Chicken Breast","White Potato","Lentils","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"156","Bison","Chicken Breast","White Potato","Lentils","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"157","Bison","Chicken Breast","White Potato","Banana","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"158","Bison","Chicken Breast","White Potato","Banana","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"159","Bison","Chicken Breast","White Potato","Banana","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"160","Bison","Chicken Breast","White Potato","Banana","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"161","Bison","Chicken Breast","White Potato","Banana","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"162","Bison","Chicken Breast","White Potato","Banana","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"163","Bison","Chicken Breast","White Potato","Sweet Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"164","Bison","Chicken Breast","White Potato","Sweet Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"165","Bison","Chicken Breast","White Potato","Sweet Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"166","Bison","Chicken Breast","White Potato","Sweet Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"167","Bison","Chicken Breast","White Potato","Sweet Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"168","Bison","Chicken Breast","White Potato","Sweet Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"169","Bison","Chicken Breast","White Potato","White Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"170","Bison","Chicken Breast","White Potato","White Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"171","Bison","Chicken Breast","White Potato","White Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"172","Bison","Chicken Breast","White Potato","White Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"173","Bison","Chicken Breast","White Potato","White Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"174","Bison","Chicken Breast","White Potato","White Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"175","Bison","Chicken Breast","White Potato","-","Avocado","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"176","Bison","Chicken Breast","White Potato","-","Avocado","-","0.5","0.5","1.0","0.0","1.0","0.0"
"177","Bison","Chicken Breast","White Potato","-","Nuts STANDARD","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"178","Bison","Chicken Breast","White Potato","-","Nuts STANDARD","-","0.5","0.5","1.0","0.0","1.0","0.0"
"179","Bison","Chicken Breast","White Potato","-","-","Oil STANDARD","0.5","0.5","1.0","0.0","0.0","0.5"
"180","Bison","Chicken Breast","White Potato","-","-","-","0.5","0.5","1.0","0.0","0.0","0.0"
"181","Bison","Chicken Breast","Beans STANDARD","Beans STANDARD","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"182","Bison","Chicken Breast","Beans STANDARD","Beans STANDARD","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"183","Bison","Chicken Breast","Beans STANDARD","Beans STANDARD","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"184","Bison","Chicken Breast","Beans STANDARD","Beans STANDARD","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"185","Bison","Chicken Breast","Beans STANDARD","Beans STANDARD","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"186","Bison","Chicken Breast","Beans STANDARD","Beans STANDARD","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"187","Bison","Chicken Breast","Beans STANDARD","Lentils","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"188","Bison","Chicken Breast","Beans STANDARD","Lentils","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"189","Bison","Chicken Breast","Beans STANDARD","Lentils","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"190","Bison","Chicken Breast","Beans STANDARD","Lentils","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"191","Bison","Chicken Breast","Beans STANDARD","Lentils","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"192","Bison","Chicken Breast","Beans STANDARD","Lentils","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"193","Bison","Chicken Breast","Beans STANDARD","Banana","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"194","Bison","Chicken Breast","Beans STANDARD","Banana","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"195","Bison","Chicken Breast","Beans STANDARD","Banana","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"196","Bison","Chicken Breast","Beans STANDARD","Banana","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"197","Bison","Chicken Breast","Beans STANDARD","Banana","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"198","Bison","Chicken Breast","Beans STANDARD","Banana","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"199","Bison","Chicken Breast","Beans STANDARD","Sweet Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"200","Bison","Chicken Breast","Beans STANDARD","Sweet Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"201","Bison","Chicken Breast","Beans STANDARD","Sweet Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"202","Bison","Chicken Breast","Beans STANDARD","Sweet Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"203","Bison","Chicken Breast","Beans STANDARD","Sweet Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"204","Bison","Chicken Breast","Beans STANDARD","Sweet Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"205","Bison","Chicken Breast","Beans STANDARD","White Potato","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"206","Bison","Chicken Breast","Beans STANDARD","White Potato","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
"207","Bison","Chicken Breast","Beans STANDARD","White Potato","Nuts STANDARD","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"208","Bison","Chicken Breast","Beans STANDARD","White Potato","Nuts STANDARD","-","0.5","0.5","0.6","0.4","1.0","0.0"
"209","Bison","Chicken Breast","Beans STANDARD","White Potato","-","Oil STANDARD","0.5","0.5","0.6","0.4","0.0","0.5"
"210","Bison","Chicken Breast","Beans STANDARD","White Potato","-","-","0.5","0.5","0.6","0.4","0.0","0.0"
"211","Bison","Chicken Breast","Beans STANDARD","-","Avocado","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"212","Bison","Chicken Breast","Beans STANDARD","-","Avocado","-","0.5","0.5","1.0","0.0","1.0","0.0"
"213","Bison","Chicken Breast","Beans STANDARD","-","Nuts STANDARD","Oil STANDARD","0.5","0.5","1.0","0.0","0.8","0.2"
"214","Bison","Chicken Breast","Beans STANDARD","-","Nuts STANDARD","-","0.5","0.5","1.0","0.0","1.0","0.0"
"215","Bison","Chicken Breast","Beans STANDARD","-","-","Oil STANDARD","0.5","0.5","1.0","0.0","0.0","0.5"
"216","Bison","Chicken Breast","Beans STANDARD","-","-","-","0.5","0.5","1.0","0.0","0.0","0.0"
"217","Bison","Chicken Breast","Lentils","Beans STANDARD","Avocado","Oil STANDARD","0.5","0.5","0.6","0.4","0.8","0.2"
"218","Bison","Chicken Breast","Lentils","Beans STANDARD","Avocado","-","0.5","0.5","0.6","0.4","1.0","0.0"
